Candidate ID=33733, InsertionTime=0.093163ns
Candidate ID=14111, InsertionTime=0.0822ns
Candidate ID=25402, InsertionTime=0.11021ns
Candidate ID=51170, InsertionTime=0.090535ns
Candidate ID=31040, InsertionTime=0.092402ns
Candidate ID=7252, InsertionTime=0.101312ns
Candidate ID=6477, InsertionTime=0.109648ns
Candidate ID=51418, InsertionTime=0.090973ns
Candidate ID=12754, InsertionTime=0.142034ns
Candidate ID=33900, InsertionTime=0.101281ns
Candidate ID=43908, InsertionTime=7.53281ns
Candidate ID=4033, InsertionTime=7.54052ns
Candidate ID=13177, InsertionTime=0.116033ns
Candidate ID=43927, InsertionTime=0.174877ns
Candidate ID=43459, InsertionTime=7.63649ns
Candidate ID=29157, InsertionTime=16.6491ns
Candidate ID=31451, InsertionTime=20.2806ns
Candidate ID=23271, InsertionTime=0.087987ns
Candidate ID=27135, InsertionTime=0.202748ns
Candidate ID=41562, InsertionTime=0.122095ns
Candidate ID=39603, InsertionTime=0.087696ns
Candidate ID=32057, InsertionTime=7.75164ns
Candidate ID=10823, InsertionTime=7.99004ns
Candidate ID=927, InsertionTime=0.398492ns
Candidate ID=9320, InsertionTime=7.52003ns
Candidate ID=46069, InsertionTime=0.153126ns
Candidate ID=24127, InsertionTime=0.28024ns
Candidate ID=21120, InsertionTime=13.6604ns
Candidate ID=19094, InsertionTime=0.207584ns
Candidate ID=11873, InsertionTime=0.114322ns
Candidate ID=27394, InsertionTime=0.141122ns
Candidate ID=48880, InsertionTime=0.125858ns
Candidate ID=44963, InsertionTime=0.178699ns
Candidate ID=38465, InsertionTime=0.109887ns
Candidate ID=11808, InsertionTime=0.139086ns
Candidate ID=25676, InsertionTime=0.093958ns
Candidate ID=1830, InsertionTime=0.128116ns
Candidate ID=30291, InsertionTime=0.12643ns
Candidate ID=18328, InsertionTime=0.124766ns
Candidate ID=14573, InsertionTime=0.138741ns
Candidate ID=35501, InsertionTime=0.175584ns
Candidate ID=12956, InsertionTime=7.77943ns
Candidate ID=47241, InsertionTime=7.84612ns
Candidate ID=6086, InsertionTime=0.153541ns
Candidate ID=33148, InsertionTime=0.289643ns
Candidate ID=39088, InsertionTime=0.146352ns
Candidate ID=8816, InsertionTime=7.78347ns
Candidate ID=9456, InsertionTime=19.2344ns
Candidate ID=25361, InsertionTime=16.2529ns
Candidate ID=53121, InsertionTime=0.217234ns
Candidate ID=47099, InsertionTime=12.9802ns
Candidate ID=10583, InsertionTime=0.138726ns
Candidate ID=10592, InsertionTime=0.142181ns
Candidate ID=9453, InsertionTime=7.82193ns
Candidate ID=31475, InsertionTime=0.186208ns
Candidate ID=7960, InsertionTime=8.54746ns
Candidate ID=19010, InsertionTime=8.13299ns
Candidate ID=14802, InsertionTime=0.427859ns
Candidate ID=49057, InsertionTime=0.194663ns
Candidate ID=21534, InsertionTime=8.02518ns
Candidate ID=5545, InsertionTime=0.442457ns
